cpu_percent,memory_used_percent,disk_read_bytes,disk_write_bytes,net_sent_bytes,net_recv_bytes,gpu_0_load_change,gpu_0_free_memory_change,gpu_0_used_memory_change,gpu_0_temperature_change,gpu_1_load_change,gpu_1_free_memory_change,gpu_1_used_memory_change,gpu_1_temperature_change
19.3,12.9,286720,0,20515,8760,10.000000000000002,-142.0,142.0,1.0,-27.0,-170.0,170.0,2.0
17.9,13.0,0,36864,23401,12381,25.0,-140.0,140.0,1.0,34.0,-180.0,180.0,2.0
17.8,13.0,0,40960,19049,31426,0.0,-18.0,18.0,3.0,0.0,-24.0,24.0,4.0
18.2,12.9,0,16384,26079,24039,0.0,0.0,0.0,2.0,2.000000000000007,0.0,0.0,3.0
18.2,13.0,0,4096,3840,4020,-3.0,0.0,0.0,1.0,-4.000000000000007,0.0,0.0,1.0
16.8,13.0,0,0,3425,5794,-1.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0
15.5,13.0,0,0,2460,2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18.0,13.0,0,0,6530,10218,5.0,0.0,0.0,0.0,6.000000000000007,0.0,0.0,1.0
17.8,13.0,0,28672,21514,15435,1.0,0.0,0.0,3.0,0.0,-2.0,2.0,2.0
17.6,13.0,0,28672,12659,18087,-2.0,-482.0,482.0,2.0,-1.000000000000007,-532.0,532.0,2.0
18.4,13.0,0,77824,27266,21604,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
17.5,12.9,0,49152,34802,40705,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
18.5,12.9,0,16384,12681,17821,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0
17.2,12.9,0,0,8302,10314,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
17.3,13.0,0,20480,3265,3727,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0
22.6,13.0,0,0,15979,8367,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
17.7,13.0,0,16384,19895,32034,2.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0
17.8,13.0,0,69632,113653,76788,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
18.3,13.0,0,0,22896,17473,-2.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0
19.1,13.0,0,0,7319,6791,-1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0
18.8,13.0,0,0,4842,4492,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
21.4,13.0,0,249856,85607,242381,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0
17.7,13.1,0,151552,18122,22501,-1.0,0.0,0.0,2.0,-1.0,0.0,0.0,1.0
17.9,13.1,0,16384,31997,26435,0.0,0.0,0.0,1.0,2.000000000000007,0.0,0.0,1.0
17.8,13.0,0,20480,13905,17356,1.0,0.0,0.0,0.0,-1.000000000000007,0.0,0.0,1.0
17.1,13.0,0,0,4369,12294,-3.0,0.0,0.0,1.0,-3.0,0.0,0.0,1.0
18.0,13.0,0,45056,29403,19958,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
16.9,13.0,0,0,3736,2569,-3.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0
17.8,13.0,0,53248,3698,3636,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.5,13.1,0,20480,10595,15724,2.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0
17.0,13.1,0,0,7823,6821,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0
17.0,13.1,0,0,5405,4363,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
17.7,13.1,0,143360,30922,31848,0.0,0.0,0.0,1.0,3.000000000000007,0.0,0.0,1.0
17.8,13.1,0,0,6589,5509,-3.0,0.0,0.0,0.0,-4.000000000000007,0.0,0.0,0.0
17.9,13.0,0,32768,44657,43912,4.0,0.0,0.0,4.0,4.000000000000007,0.0,0.0,1.0
18.5,13.1,0,0,6479,9744,-3.0,0.0,0.0,1.0,-3.000000000000007,0.0,0.0,1.0
16.6,13.0,0,0,3337,3309,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
17.9,13.0,0,237568,34578,34950,1.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0
16.8,13.0,0,0,13193,13136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17.8,13.0,0,0,6596,10040,-3.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
17.7,13.0,0,69632,62621,54298,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
16.8,13.0,0,0,2631,2907,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.7,13.0,0,16384,14340,21337,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18.3,13.1,0,20480,6743,10412,-3.0,0.0,0.0,1.0,-5.0,0.0,0.0,1.0
17.4,13.1,0,0,19000,10850,4.0,0.0,0.0,-1.0,4.0,0.0,0.0,1.0
18.2,13.0,0,16384,8903,14002,1.0,0.0,0.0,1.0,2.000000000000007,0.0,0.0,1.0
17.3,13.0,0,0,4806,9620,-4.0,0.0,0.0,1.0,-2.000000000000007,0.0,0.0,1.0
19.0,13.0,0,20480,3309,4751,-1.0,0.0,0.0,0.0,-4.0,0.0,0.0,1.0
16.8,13.0,0,0,4605,4256,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17.7,12.9,0,86016,50005,46308,4.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0
17.9,13.0,0,69632,36651,42555,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0
17.3,13.0,0,0,3397,6205,-3.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0
17.8,13.0,0,73728,14796,22851,4.0,0.0,0.0,1.0,4.000000000000007,0.0,0.0,1.0
17.8,13.0,0,12288,22160,18710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.4,13.0,0,0,5438,5076,-4.0,0.0,0.0,0.0,-4.000000000000007,0.0,0.0,1.0
17.9,13.0,0,40960,29854,34113,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0
17.6,13.0,0,73728,33010,36113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18.0,13.0,0,69632,16782,25275,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
17.8,13.0,0,24576,24534,23624,2.0,0.0,0.0,0.0,1.000000000000007,0.0,0.0,1.0
17.4,13.0,0,0,7476,9911,-2.0,0.0,0.0,-1.0,-1.000000000000007,0.0,0.0,1.0
17.6,13.0,0,20480,7836,10157,1.0,0.0,0.0,1.0,1.000000000000007,0.0,0.0,1.0
18.3,13.0,0,16384,17404,10662,-1.0,0.0,0.0,1.0,-4.000000000000007,0.0,0.0,1.0
16.8,13.1,0,0,1982,1571,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
18.2,13.1,0,36864,12933,16547,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
17.9,13.0,0,155648,26087,25035,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18.1,13.1,0,12288,3911,5617,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0
17.8,13.1,0,65536,6371,12108,1.0,0.0,0.0,1.0,5.000000000000007,0.0,0.0,0.0
16.8,13.1,0,0,4311,4134,0.0,0.0,0.0,0.0,-6.000000000000007,0.0,0.0,0.0
17.7,13.1,0,8192,8291,11143,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
17.0,13.1,0,0,6315,6399,-1.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0
17.7,13.1,0,81920,19773,11391,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17.8,13.0,0,122880,36345,35610,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
16.8,13.0,0,0,5232,4819,-2.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0
17.8,13.0,0,24576,14677,18089,3.0,0.0,0.0,1.0,7.000000000000007,0.0,0.0,0.0
18.1,13.0,0,32768,26831,22606,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
17.6,13.0,0,28672,6791,10107,-1.0,0.0,0.0,0.0,-2.000000000000007,0.0,0.0,1.0
17.6,13.0,0,40960,24338,22143,1.0,0.0,0.0,1.0,2.000000000000007,0.0,0.0,0.0
16.7,13.0,0,12288,2442,3318,0.0,0.0,0.0,0.0,-4.000000000000007,0.0,0.0,0.0
17.9,13.0,0,65536,47917,45170,-1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0
17.9,13.0,0,16384,11305,13482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17.3,13.0,0,0,5011,8884,1.0,0.0,0.0,0.0,-3.0,0.0,0.0,1.0
17.7,13.0,0,69632,33119,37986,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
19.3,13.0,0,0,4264,4280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.7,13.1,0,40960,8731,13002,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17.3,13.0,0,0,21201,11962,-1.0,0.0,0.0,2.0,1.000000000000007,0.0,0.0,1.0
19.8,13.0,0,0,2438,2954,-2.0,0.0,0.0,1.0,-4.000000000000007,0.0,0.0,1.0
17.4,13.1,0,45056,11592,19005,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0
17.8,13.1,0,0,7996,7705,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17.9,13.1,0,40960,18555,10149,-1.0,0.0,0.0,-1.0,-3.0,0.0,0.0,1.0
17.6,13.0,0,45056,10661,20460,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
17.6,13.1,0,8192,6662,7631,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,1.0
18.9,13.0,0,16384,19241,10889,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
17.1,13.0,0,12288,6828,10804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.5,13.0,0,0,4798,4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.6,13.0,0,45056,9710,12422,0.0,-404.0,404.0,3.0,1.0,-404.0,404.0,1.0
17.7,13.0,0,69632,59347,56942,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,1.0
17.9,13.1,0,16384,11204,12148,-2.0,0.0,0.0,0.0,-3.0,0.0,0.0,1.0
17.3,13.1,0,0,12099,4626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16.6,13.1,0,0,2309,2735,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
18.9,13.1,0,0,40401,10861,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18.1,13.1,0,73728,131480,68254,3.0,0.0,0.0,2.0,6.000000000000007,0.0,0.0,1.0
17.4,13.1,0,0,12223,16827,-1.0,0.0,0.0,1.0,-1.000000000000007,0.0,0.0,1.0
18.2,13.0,0,122880,1226091,146228,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16.3,13.0,0,0,3736,5850,-2.0,0.0,0.0,-1.0,-4.0,0.0,0.0,0.0
19.2,13.0,0,0,2369,1437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.9,13.0,0,315392,10747,15109,4.0,0.0,0.0,1.0,6.000000000000007,0.0,0.0,1.0
18.3,13.0,0,12288,64781,8547,-5.0,0.0,0.0,0.0,-3.000000000000007,0.0,0.0,1.0
17.9,13.0,0,126976,37689,23820,4.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
17.8,13.1,0,24576,10490,17974,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17.7,13.0,0,20480,34637,19392,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
17.1,13.1,0,0,2753,2333,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,1.0
17.0,13.1,0,12288,2270,3371,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.3,13.1,0,28672,7578,13323,5.0,0.0,0.0,0.0,5.000000000000007,0.0,0.0,1.0
19.7,13.0,0,0,4970,3952,0.0,0.0,0.0,0.0,-5.000000000000007,0.0,0.0,1.0
18.0,13.0,0,69632,47944,34945,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
17.5,13.0,0,0,9300,6878,-1.0,-494.0,494.0,2.0,-2.0,-494.0,494.0,1.0
18.0,13.0,0,12288,66086,12749,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
18.2,13.1,0,98304,1119889,144734,3.0,0.0,0.0,2.0,5.000000000000007,0.0,0.0,1.0
18.1,13.0,0,294912,123660,45811,-1.0,0.0,0.0,1.0,-2.000000000000007,0.0,0.0,0.0
17.7,13.0,0,73728,352648,53685,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18.4,13.0,0,32768,82398,16539,0.0,0.0,0.0,0.0,1.000000000000007,0.0,0.0,1.0
17.7,13.0,0,16384,6956,5056,-1.0,0.0,0.0,0.0,-2.000000000000007,0.0,0.0,0.0
18.6,13.0,0,36864,3791,9620,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17.6,13.1,0,49152,92687,28770,3.0,0.0,0.0,2.0,1.000000000000007,0.0,0.0,1.0
18.0,13.0,0,40960,89164,27740,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
16.9,13.0,0,0,3935,3799,-4.0,0.0,0.0,0.0,-5.000000000000007,0.0,0.0,1.0
15.6,13.0,0,0,1346,1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.8,13.0,0,45056,10360,13737,4.0,0.0,0.0,2.0,4.000000000000007,0.0,0.0,1.0
18.2,13.0,0,36864,82753,18678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
17.2,13.0,0,0,7672,10921,-3.0,0.0,0.0,0.0,-3.000000000000007,0.0,0.0,1.0
17.6,13.0,0,102400,93364,38840,2.0,0.0,0.0,2.0,2.000000000000007,0.0,0.0,1.0
19.0,13.0,0,0,3669,4905,0.0,0.0,0.0,1.0,-4.000000000000007,0.0,0.0,1.0
17.8,13.1,0,0,3195,2497,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18.3,13.0,0,40960,76534,17987,7.0,0.0,0.0,1.0,5.000000000000007,0.0,0.0,1.0
17.8,13.0,0,8192,8033,11509,-2.0,0.0,0.0,-2.0,-2.000000000000007,0.0,0.0,1.0
16.7,13.0,0,16384,3409,2725,-2.0,0.0,0.0,0.0,-5.0,0.0,0.0,1.0
17.9,13.0,0,12288,8997,13567,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
16.9,13.0,0,0,1909,1861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.8,13.0,0,114688,307359,45655,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
19.9,13.0,0,16384,403244,114743,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
17.7,13.0,0,208896,101205,39374,-1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
17.7,13.0,0,40960,111920,20572,1.0,0.0,0.0,1.0,2.000000000000007,0.0,0.0,1.0
